step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,client_id
481,PAYMENT,32.990654955348276,C774478551,3035.9751676467627,1695.862375995873,M606031834,6524.206496416078,6557.197151371426,0,0
408,TRANSFER,42.04133136605358,C210843450,16227.701551772716,7237.907581905849,M636636732,1658.5044667033876,1700.5457980694412,0,0
57,PAYMENT,525.8783078743106,C387009011,2732.2787396977155,1811.6433264486136,M137435740,18896.964219582,19422.842527456312,0,2
175,CASH_OUT,411.9100647933023,C322046151,5529.491821187744,4004.883078683715,M454389755,1497.6278008043353,1909.5378655976376,0,0
118,TRANSFER,25.31614380849826,C357364407,9820.74118772873,7665.1242119684375,M584975349,9062.106603653821,9087.42274746232,0,1
309,TRANSFER,270.7229170278475,C729463717,9133.099723618641,6408.328698064806,M659482462,5293.867170123088,5564.590087150936,0,2
171,PAYMENT,207.91176204033533,C670493079,1069.5653665509087,1001.3191355093553,M268537772,16024.76154065957,16232.673302699906,0,0
381,CASH_OUT,1172.3333596590057,C658497003,5384.203093821351,815.9399971972971,M967762121,5631.482232961666,6803.815592620672,1,0
483,TRANSFER,176.08738662980784,C231981340,8416.484335094896,5261.305111283742,M965155712,5009.9234427859155,5186.0108294157235,0,2
404,PAYMENT,171.9162744349833,C435290617,15696.822827720498,10157.72945146821,M268933524,10166.683467025168,10338.599741460152,0,2
208,PAYMENT,80.37900249256195,C334398853,6159.671886878206,4362.412018262946,M618415891,11342.236267617556,11422.615270110118,0,2
70,PAYMENT,63.91477007939506,C378542975,19964.560304245028,12173.863261421986,M294995085,8765.582581235383,8829.497351314778,0,2
222,CASH_OUT,1112.8419324518475,C313122441,6131.221706688494,2944.7969780217113,M808693999,12420.190668890478,13533.032601342326,0,0
6,PAYMENT,108.86681218926454,C637567459,16540.244409800725,11706.48946911008,M552070696,11365.018986287012,11473.885798476276,0,2
547,CASH_OUT,248.57042220734797,C510495502,305.6483656383779,278.79251098371026,M242633196,1044.0193660585728,1292.5897882659208,0,1
135,PAYMENT,172.12074035045651,C750320789,18489.587855863498,7563.565629213763,M737177543,15054.316758167226,15226.437498517682,0,0
46,PAYMENT,396.9231337842791,C368789450,3731.982969156544,2155.4714946103513,M332105486,19541.152801269476,19938.075935053756,0,2
453,CASH_OUT,335.1854913807177,C166992248,2506.624500262078,1469.6817995223523,M382067723,11328.351153320373,11663.536644701091,0,0
359,CASH_IN,697.895481240652,C461948348,5035.386983012569,2404.1498128859466,M529564813,3476.01814340295,4173.913624643602,0,2
